PUNTO 1: estraete ed ordinate in ordine di frequenza decrescente, indicando anche la relativa frequenza
i 20 token più frequenti escludendo la punteggiatura del file positivo.txt : 
I 10 bigrammi di POS (Part-of-Speech) più frequenti del file: negativo.txt
('DT', 'NN') 	occorrenza 236
('IN', 'DT') 	occorrenza 171
('NN', 'IN') 	occorrenza 136
('JJ', 'NN') 	occorrenza 122
('NN', '.') 	occorrenza 116
('NN', 'NN') 	occorrenza 96
('DT', 'JJ') 	occorrenza 96
('TO', 'VB') 	occorrenza 95
('.', 'PRP') 	occorrenza 94
('PRP', 'VBD') 	occorrenza 92
('PRP', 'VBP') 	occorrenza 89



I 10 trigrammi di POS (Part-of-Speech) più frequenti del file: positivo.txt
('IN', 'DT', 'NN') 	occorrenza 105
('DT', 'JJ', 'NN') 	occorrenza 74
('PRP', 'MD', 'VB') 	occorrenza 64
('DT', 'NN', 'IN') 	occorrenza 58
('NN', 'IN', 'DT') 	occorrenza 55
(',', 'CC', 'PRP') 	occorrenza 39
('NN', ',', 'CC') 	occorrenza 37
('DT', 'NN', '.') 	occorrenza 34
('IN', 'DT', 'JJ') 	occorrenza 33
('VB', 'DT', 'NN') 	occorrenza 33
('TO', 'VB', 'DT') 	occorrenza 32

I 10 trigrammi di POS (Part-of-Speech) più frequenti del file: negativo.txt
('IN', 'DT', 'NN') 	occorrenza 88
('DT', 'JJ', 'NN') 	occorrenza 57
('DT', 'NN', 'IN') 	occorrenza 50
('NN', 'IN', 'DT') 	occorrenza 36
('.', 'PRP', 'VBD') 	occorrenza 36
('NNP', ',', 'NNP') 	occorrenza 34
('IN', 'DT', 'JJ') 	occorrenza 33
('NN', '.', 'PRP') 	occorrenza 33
('NNP', 'NNP', ',') 	occorrenza 32
('DT', 'NN', 'NN') 	occorrenza 29
('IN', 'PRP$', 'NN') 	occorrenza 29



PUNTO 2: Estraete ed ordinate in ordine decrescente i 20 bigrammi composti da aggettivo e sostantivo (dove ogni token deve avere una frequenza maggiore di 2):

File: positivo.txt
---con frequenza massima, indicando anche la frequenza di ogni parola che compone il bigramma:
File: positivo.txt
(u'graphical', u'settings') 	occorrenza 4
graphical 	occorrenza 4
settings 	occorrenza 30

(u'graphic', u'card') 	occorrenza 3
graphic 	occorrenza 6
card 	occorrenza 5

(u'different', u'cooler') 	occorrenza 2
different 	occorrenza 4
cooler 	occorrenza 4

(u'front', u'panel') 	occorrenza 2
front 	occorrenza 8
panel 	occorrenza 5

(u'few', u'exceptions') 	occorrenza 2
few 	occorrenza 6
exceptions 	occorrenza 3

(u'few', u'months') 	occorrenza 2
few 	occorrenza 6
months 	occorrenza 3

(u'good', u'frame-rates') 	occorrenza 2
good 	occorrenza 15
frame-rates 	occorrenza 3

(u'old', u'game') 	occorrenza 2
old 	occorrenza 5
game 	occorrenza 47

(u'intense', u'games') 	occorrenza 2
intense 	occorrenza 4
games 	occorrenza 17

(u'larger', u'HDD') 	occorrenza 2
larger 	occorrenza 3
HDD 	occorrenza 8

(u'intense', u'gaming') 	occorrenza 2
intense 	occorrenza 4
gaming 	occorrenza 32

(u'free', u'RAM') 	occorrenza 1
free 	occorrenza 3
RAM 	occorrenza 7

(u'pre-built', u'gaming') 	occorrenza 1
pre-built 	occorrenza 4
gaming 	occorrenza 32

(u'great', u'mouse') 	occorrenza 1
great 	occorrenza 3
mouse 	occorrenza 14

(u'good', u'gaming') 	occorrenza 1
good 	occorrenza 15
gaming 	occorrenza 32

(u'good', u'way') 	occorrenza 1
good 	occorrenza 15
way 	occorrenza 4

(u'other', u'Steam') 	occorrenza 1
other 	occorrenza 7
Steam 	occorrenza 8

(u'decent', u'money') 	occorrenza 1
decent 	occorrenza 5
money 	occorrenza 4

(u'dual', u'fans') 	occorrenza 1
dual 	occorrenza 3
fans 	occorrenza 13

(u'single', u'stick') 	occorrenza 1
single 	occorrenza 3
stick 	occorrenza 5

(u'main', u'things') 	occorrenza 1
main 	occorrenza 3
things 	occorrenza 12

File: positivo.txt
(u'tech', u'support') 	occorrenza 3
tech 	occorrenza 3
support 	occorrenza 9

(u'same', u'thing') 	occorrenza 2
same 	occorrenza 7
thing 	occorrenza 6

(u'hard', u'drive') 	occorrenza 2
hard 	occorrenza 3
drive 	occorrenza 3

(u'new', u'power') 	occorrenza 2
new 	occorrenza 10
power 	occorrenza 5

(u'young', u'people') 	occorrenza 2
young 	occorrenza 4
people 	occorrenza 4

(u'low', u'price') 	occorrenza 2
low 	occorrenza 3
price 	occorrenza 4

(u'other', u'masks') 	occorrenza 1
other 	occorrenza 8
masks 	occorrenza 3

(u'high', u'quality') 	occorrenza 1
high 	occorrenza 6
quality 	occorrenza 3

(u'other', u'way') 	occorrenza 1
other 	occorrenza 8
way 	occorrenza 9

(u'best', u'parts') 	occorrenza 1
best 	occorrenza 3
parts 	occorrenza 5

(u'real', u'issues') 	occorrenza 1
real 	occorrenza 3
issues 	occorrenza 4

(u'different', u'ingredients') 	occorrenza 1
different 	occorrenza 4
ingredients 	occorrenza 10

(u'best', u'mask') 	occorrenza 1
best 	occorrenza 3
mask 	occorrenza 9

(u'extra', u'fast') 	occorrenza 1
extra 	occorrenza 3
fast 	occorrenza 3

(u'new', u'mud') 	occorrenza 1
new 	occorrenza 10
mud 	occorrenza 3

(u'full', u'days') 	occorrenza 1
full 	occorrenza 4
days 	occorrenza 7

(u'top', u'ingredients') 	occorrenza 1
top 	occorrenza 4
ingredients 	occorrenza 10

(u'full', u'time') 	occorrenza 1
full 	occorrenza 4
time 	occorrenza 8

(u'real', u'singers') 	occorrenza 1
real 	occorrenza 3
singers 	occorrenza 3

(u'same', u'product') 	occorrenza 1
same 	occorrenza 7
product 	occorrenza 21

(u'long', u'time') 	occorrenza 1
long 	occorrenza 6
time 	occorrenza 8



---con probabilità congiunta massima, indicando anche la relativa frequenza:
File: positivo.txt
(u'good', u'gaming') 	probabilita congiunta: 4.18453765513e-06
good 	probabilità: 0.00229990800368
gaming 	probabilità: 0.00490647040785

(u'first', u'PC') 	probabilita congiunta: 4.18453765513e-06
first 	probabilità: 0.00153327200245
PC 	probabilità: 0.0050597976081

(u'old', u'game') 	probabilita congiunta: 4.18453765513e-06
old 	probabilità: 0.000766636001227
game 	probabilità: 0.00720637841153

(u'own', u'gaming') 	probabilita congiunta: 4.18453765513e-06
own 	probabilità: 0.000919963201472
gaming 	probabilità: 0.00490647040785

(u'graphic', u'settings') 	probabilita congiunta: 4.18453765513e-06
graphic 	probabilità: 0.000919963201472
settings 	probabilità: 0.00459981600736

(u'old', u'gaming') 	probabilita congiunta: 4.18453765513e-06
old 	probabilità: 0.000766636001227
gaming 	probabilità: 0.00490647040785

(u'popular', u'game') 	probabilita congiunta: 4.18453765513e-06
popular 	probabilità: 0.000459981600736
game 	probabilità: 0.00720637841153

(u'pre-built', u'gaming') 	probabilita congiunta: 4.18453765513e-06
pre-built 	probabilità: 0.000613308800981
gaming 	probabilità: 0.00490647040785

(u'intense', u'gaming') 	probabilita congiunta: 4.18453765513e-06
intense 	probabilità: 0.000613308800981
gaming 	probabilità: 0.00490647040785

(u'high', u'settings') 	probabilita congiunta: 4.18453765513e-06
high 	probabilità: 0.000613308800981
settings 	probabilità: 0.00459981600736

(u'good', u'look') 	probabilita congiunta: 4.18453765513e-06
good 	probabilità: 0.00229990800368
look 	probabilità: 0.00122661760196

(u'graphical', u'settings') 	probabilita congiunta: 4.18453765513e-06
graphical 	probabilità: 0.000613308800981
settings 	probabilità: 0.00459981600736

(u'other', u'games') 	probabilita congiunta: 4.18453765513e-06
other 	probabilità: 0.00107329040172
games 	probabilità: 0.00260656240417

(u'free', u'gaming') 	probabilita congiunta: 4.18453765513e-06
free 	probabilità: 0.000459981600736
gaming 	probabilità: 0.00490647040785

(u'happy', u'gaming') 	probabilita congiunta: 4.18453765513e-06
happy 	probabilità: 0.000459981600736
gaming 	probabilità: 0.00490647040785

(u'little', u'time') 	probabilita congiunta: 4.18453765513e-06
little 	probabilità: 0.00137994480221
time 	probabilità: 0.00122661760196

(u'intense', u'games') 	probabilita congiunta: 4.18453765513e-06
intense 	probabilità: 0.000613308800981
games 	probabilità: 0.00260656240417

(u'decent', u'machine') 	probabilita congiunta: 4.18453765513e-06
decent 	probabilità: 0.000766636001227
machine 	probabilità: 0.00199325360319

(u'same', u'fans') 	probabilita congiunta: 4.18453765513e-06
same 	probabilità: 0.000766636001227
fans 	probabilità: 0.00199325360319

(u'good', u'way') 	probabilita congiunta: 4.18453765513e-06
good 	probabilità: 0.00229990800368
way 	probabilità: 0.000613308800981

(u'good', u'graphical') 	probabilita congiunta: 4.18453765513e-06
good 	probabilità: 0.00229990800368
graphical 	probabilità: 0.000613308800981

File: negativo.txt
(u'same', u'product') 	probabilita congiunta: 4.18453765513e-06
same 	probabilità: 0.00107329040172
product 	probabilità: 0.00321987120515
(u'other', u'way') 	probabilita congiunta: 4.18453765513e-06
other 	probabilità: 0.00122661760196
way 	probabilità: 0.00137994480221
(u'amazon', u'product') 	probabilita congiunta: 4.18453765513e-06
amazon 	probabilità: 0.000459981600736
product 	probabilità: 0.00321987120515
(u'new', u'power') 	probabilita congiunta: 4.18453765513e-06
new 	probabilità: 0.00153327200245
power 	probabilità: 0.000766636001227
(u'long', u'time') 	probabilita congiunta: 4.18453765513e-06
long 	probabilità: 0.000919963201472
time 	probabilità: 0.00122661760196
(u'real', u'music') 	probabilita congiunta: 4.18453765513e-06
real 	probabilità: 0.000459981600736
music 	probabilità: 0.00245323520393
(u'same', u'thing') 	probabilita congiunta: 4.18453765513e-06
same 	probabilità: 0.00107329040172
thing 	probabilità: 0.000919963201472
(u'different', u'ingredients') 	probabilita congiunta: 4.18453765513e-06
different 	probabilità: 0.000613308800981
ingredients 	probabilità: 0.00153327200245
(u'top', u'ingredients') 	probabilita congiunta: 4.18453765513e-06
top 	probabilità: 0.000613308800981
ingredients 	probabilità: 0.00153327200245
(u'full', u'time') 	probabilita congiunta: 4.18453765513e-06
full 	probabilità: 0.000613308800981
time 	probabilità: 0.00122661760196
(u'new', u'mud') 	probabilita congiunta: 4.18453765513e-06
new 	probabilità: 0.00153327200245
mud 	probabilità: 0.000459981600736
(u'new', u'graphics') 	probabilita congiunta: 4.18453765513e-06
new 	probabilità: 0.00153327200245
graphics 	probabilità: 0.000459981600736
(u'full', u'days') 	probabilita congiunta: 4.18453765513e-06
full 	probabilità: 0.000613308800981
days 	probabilità: 0.00107329040172
(u'same', u'issues') 	probabilita congiunta: 4.18453765513e-06
same 	probabilità: 0.00107329040172
issues 	probabilità: 0.000613308800981
(u'tech', u'support') 	probabilita congiunta: 4.18453765513e-06
tech 	probabilità: 0.000459981600736
support 	probabilità: 0.00137994480221
(u'best', u'mask') 	probabilita congiunta: 4.18453765513e-06
best 	probabilità: 0.000459981600736
mask 	probabilità: 0.00137994480221
(u'other', u'masks') 	probabilita congiunta: 4.18453765513e-06
other 	probabilità: 0.00122661760196
masks 	probabilità: 0.000459981600736
(u'few', u'years') 	probabilita congiunta: 4.18453765513e-06
few 	probabilità: 0.000919963201472
years 	probabilità: 0.000613308800981
(u'good', u'day') 	probabilita congiunta: 4.18453765513e-06
good 	probabilità: 0.000919963201472
day 	probabilità: 0.000613308800981
(u'personal', u'life') 	probabilita congiunta: 4.18453765513e-06
personal 	probabilità: 0.000766636001227
life 	probabilità: 0.000613308800981
(u'high', u'quality') 	probabilita congiunta: 4.18453765513e-06
high 	probabilità: 0.000919963201472
quality 	probabilità: 0.000459981600736


---con local mutual information:
File: positivo.txt
(u'graphic', u'card') 	local mutual information: 8.49711086906e-05
(u'graphical', u'settings') 	local mutual information: 8.49711086906e-05
(u'different', u'cooler') 	local mutual information: 8.49711086906e-05
(u'few', u'exceptions') 	local mutual information: 8.49711086906e-05
(u'few', u'months') 	local mutual information: 8.49711086906e-05
(u'larger', u'HDD') 	local mutual information: 8.49711086906e-05
(u'front', u'panel') 	local mutual information: 8.49711086906e-05
(u'good', u'frame-rates') 	local mutual information: 8.49711086906e-05
(u'intense', u'games') 	local mutual information: 8.49711086906e-05
(u'higher', u'resolutions') 	local mutual information: 8.49711086906e-05
(u'dual', u'channel') 	local mutual information: 8.49711086906e-05
(u'big', u'Thor') 	local mutual information: 8.49711086906e-05
(u'main', u'E-Sports') 	local mutual information: 8.49711086906e-05
(u'single', u'hiccup') 	local mutual information: 8.49711086906e-05
(u'wobble', u'quite') 	local mutual information: 8.49711086906e-05
(u'dual', u'vid') 	local mutual information: 8.49711086906e-05
(u'double-click', u'button') 	local mutual information: 8.49711086906e-05
(u'auto-configure', u'button') 	local mutual information: 8.49711086906e-05
(u'pre-built', u'vs.') 	local mutual information: 8.49711086906e-05
(u'real', u'quick') 	local mutual information: 8.49711086906e-05
(u'real', u'punch') 	local mutual information: 8.49711086906e-05

File: negativo.txt
(u'exact', u'time') 	local mutual information: 8.49711086906e-05
(u'young', u'adults') 	local mutual information: 8.49711086906e-05
(u'tech', u'support') 	local mutual information: 8.49711086906e-05
(u'last', u'year') 	local mutual information: 8.49711086906e-05
(u'modern', u'music') 	local mutual information: 8.49711086906e-05
(u'other', u'way') 	local mutual information: 8.49711086906e-05
(u'hard', u'drive') 	local mutual information: 8.49711086906e-05
(u'best', u'mask') 	local mutual information: 8.49711086906e-05
(u'full', u'days') 	local mutual information: 8.49711086906e-05
(u'top', u'ingredients') 	local mutual information: 8.49711086906e-05
(u'diary', u'masks') 	local mutual information: 8.49711086906e-05
(u'update', u'drivers') 	local mutual information: 8.49711086906e-05
(u'newer', u'motherboard') 	local mutual information: 8.49711086906e-05
(u'few', u'tracks') 	local mutual information: 8.49711086906e-05
(u'amazing', u'waffles') 	local mutual information: 8.49711086906e-05
(u'common', u'issue') 	local mutual information: 8.49711086906e-05
(u'personal', u'enjoyment') 	local mutual information: 8.49711086906e-05
(u'low', u'price') 	local mutual information: 8.49711086906e-05
(u'own', u'voice') 	local mutual information: 8.49711086906e-05
(u'personal', u'feelings') 	local mutual information: 8.49711086906e-05
(u'good', u'urban') 	local mutual information: 8.49711086906e-05



